Item UPC,Top 500,ID,UPC,Product ID,Sequence,Manufacturer,Distributor,Brand,Product Description,Product Size,Drug Interactions,Directions,Indications,Ingredients,Vitamin and Minerals,Low Fat,Low Sodium,Fat Free,Sugar Free,Good Source of Fiber,Vegan,Vegetarian,Lactose Fre,Flavor,Antibiotic Free,Temperature Indicator,Wheat Free,Gluten Free,Hormone Free,Natural,Nitrates Free,Nitrites Free,Organic,Peanut Free,Ready to Cook,Ready to Heat,Dairy Free,Egg Free,Kosher Codes,Recycle Codes,NDC Code,Country of Origin
027700548816,17,89251,00027700548816,6b254b20-7b81-11e2-b594-005056ab0051,1,The Schwan Food Company,"Schwan's Consumer Brands North America, Inc.",Mrs. Smith's,Mrs. Smith's Classic Pumpkin Pie,,,"Keep frozen until ready to enjoy!
Bake before serving.
Preparation instructions.
For food safety and quality cook before eating to an internal temperature of 160 degrees F.
Keep frozen until ready to bake.
1. Remove pie from freezer. Place oven rack in center position. Preheat oven to 350 degrees F.
2. Remove frozen pie from box, and remove plastic overwrap from pie. Do not remove pie from original pan.
3. Center frozen pie on a cookie sheet lined with aluminum foil, and place in preheated oven.
4. Bake pie at 350 degrees F. for 65-75 minutes in oven. Edges will be golden brown and center will be soft and slightly jiggly.
Filling will set during cooling.
5. Remove baked pie carefully from oven on cookie sheet with oven mitts. Never handle by edge of pie pan.
6. Allow pie to cool for at least 2 hours before cutting and serving. Pies are best when freshly baked.
Store covered in refrigerator for up to 2 days.
Please note: baking pie on cookie sheet helps crust to bake more evenly. Because ovens vary, adjust time and temperature as necessary.",,"Filling: Pumpkin, Milk, Corn Syrup, Whey, Delactosed Nonfat Milk, Eggs, Modified Food Starch, Sugar, contains 2% or less of: Whey Protein Concentrate, Spice, Salt, Soybean Oil, Carob Bean Gum, Carrageenan, Calcium Hydroxide, Dextrose, Potassium Chloride, Colored with Beta Carotene. Crust: Wheat Flour, Vegetable Shortening (Palm Oil and Soybean Oil with Mono- and Diglycerides), Water, contains 2% or less of: Dextrose, Salt, Yeast, Bleached Wheat Flour with Malted Barley.",,,,,,,,,,,,Frozen,,,,,,,,,,,,,"1,13",,,
077567254238,18,24617,00077567254238,65a3fe80-3195-11e1-b16d-005056957023,1,Good Humor-Breyers Ice Cream,,Breyers,Breyers Natural Vanilla Ice Cream,,,"See bottom of container for ""tastes best before"" date.",,"Milk, Cream, Sugar, Tara Gum, Natural Flavor.",,,,,,,,,,,,,,,,,,,,,,,,,"6,13",,,
071300000809,19,44820,00071300000809,b66e2d70-9ea2-11e1-a291-005056ab0051,1,New World Pasta Company,New World Pasta Company,Ronzoni,Ronzoni Enriched Macaroni Product Lasagna,,,,,Semolina (Wheat); Durum Flour (Wheat); Niacin; Iron (Ferrous Sulfate); Thiamin Mononitrate; Riboflavin; Folic Acid.,"Iron-10%
Thiamin-30%
Riboflavin-10%
Niacin-15%
Folate (Folic Acid)-25%",,,,,,,,,,,,,,,,,,,,,,,,1,,,United States of America
054000100604,22,72752,00054000100604,4755b3e0-00d1-11e2-b3e9-005056ab0051,1,"Kimberly-Clark Global Sales, LLC.",,Scott,SCOTT Bath Tissue White 12-Pack 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611443340013,23,56651,00611443340013,ea7c8cd0-c75a-11e0-bffd-005056957023,1,Kitchen Basics Inc.,,Kitchen Basics,Kitchen Basics Chicken Cooking Stock,,,"Store in pantry. Open and pour. Heat until hot. Freeze separately.
Good for 7 days.",,"Chicken Stock, Chicken Flavor, Sea Salt, Honey, Vegetable Stocks (Carrot, Onion, Mushroom, Celery), Bay, Thyme, Pepper.",,,,,,,,,,,,,,Y,,,,,,Y,,,,Y,,Y,,USA
072940757016,24,106725,00072940757016,49fecb50-e414-11e2-a629-005056ab0051,1,Red Gold Inc.,Red Gold LLC.,Tuttorosso,Tuttorosso New World Style Tomato Puree,,,,,"Tomato Concentrate (Water, Tomato Paste), Citric Acid.",,,,Y,,,,,,,,Shelf Stable,,Y,,Y,,,,,,,,,1,Y,,
070662010037,25,47796,00070662010037,c8afc3a0-6fa3-11e1-a10c-005056ab0051,1,Nissin Foods USA Co Inc.,,Nissin,Nissin Top Ramen Oodles of Noodles Chicken Flavor Ramen Noodle Soup,,,"Recommended Cooking Directions:
1. Boil 2 cups water. 
Add noodles, breaking up if desired. 
Cook 3 minutes, stirring occasionally.
2. Remove from heat. Stir in seasonings from flavor packet. 
To lower sodium, use less seasoning.",,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Palm Oil, Salt, contains less than 2% of Monosodium Glutamate, Hydrolyzed Corn Protein, Powdered Chicken, Onion Powder, Garlic Powder, Spice and Color, Sodium Carbonate, Maltodextrin, Calcium Silicate, Sodium Tripolyphosphate, Hydrolyzed Soy Protein, Wheat, Soybean, Sugar, Autolyzed Yeast Extract, Rendered Chicken Fat, Dried Leek Flake, Citric Acid, Natural and Artificial Flavor, Disodium Guanylate, Disodium Inosinate, Sodium Alginate, TBHQ (preservative), Potassium Carbonate.",Iron-10%,,,,,,,,,,,,,,,,,,,,,,,,,,,
071300000359,26,32597,00071300000359,87e70b00-9e9f-11e1-a291-005056ab0051,1,New World Pasta Company,New World Pasta Company,Ronzoni,Ronzoni Enriched Macaroni Product Elbows,,,"Step 1: Select Number of Portions.
Portion - Pasta - Water - Salt.
1 - 1/4 box - 2qt. - 1 tsp.
2 - 1/2 box - 3 qt. - 2 tsp.
4 - Full box - 5qt. - 1 Tbsp.
Step 2: Pick your Time/Firmness.
6 minutes al dente. 7 minutes firm. 8 minutes tender.
Step 3: Cooking Directions.
1. Bring water to a rapid boil. To add flavor and reduce stickiness, add salt.
2. Add pasta and stir; return to rapid boil.
3. Cook uncovered, stirring occasionally.
4. Drain well. Serve as desired.
Maintaining Perfect Pasta: To keep cooked pasta fresh for later use, toss with a small amount of olive oil or sauce, and refrigerate.",,Semolina (Wheat); Durum Flour (Wheat); Niacin; Iron (Ferrous Sulfate); Thiamin Mononitrate; Riboflavin; Folic Acid.,"Folate (Folic Acid)-25%
Iron-10%
Thiamin-30%
Riboflavin-10%
Nicain-15%",,,,,,,,,,,,,,,,,,,,,,,,1,,,United States of America
027000690611,27,76472,00027000690611,792a8140-196b-11e2-9a8a-005056ab0051,1,ConAgra Foods Inc.,,Pure Wesson,Pure Wesson 100% Natural Canola Oil,,,"Usage tips:
Stir-frying - perfect for sautéing fresh vegetables and lean meats.
Marinades & vinaigrettes - allows spices and herbs to shine through.
Baking - substitute for melted butter, margarine or shortening.",,Ingredient: Canola Oil.,,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,2,Y,,
041196010886,28,52028,00041196010886,dabe5a20-b874-11e0-975d-005056957023,1,"General Mills, Inc.",Progresso Foods,Progresso,Progresso Traditional Chicken Noodle Soup,,,"Ready to serve.  Do not add water.
Stove-top: heat in saucepan.
Microwave: heat in covered microwavable bowl on high 2-4 min. Careful - leave in microwave 1 min; stir. Refrigerate leftovers.
1. Lift tab to rim.
2. Pull up & back slowly.",,"Chicken Broth, Carrots, Cooked White Chicken Meat, Egg Noodle (Wheat Flour, Semolina Wheat, Egg*), Celery. Contains less than 2% of: Modified Food Starch, Water, Chicken Fat, Salt, Corn Protein (Hydrolyzed), Egg White*, Potassium Chloride, Carrot Puree, Yeast Extract, Sugar, Soy Protein Isolate, Maltodextrin, Sodium Phosphate, Chives*, Natural Flavor, Parsley*, Garlic Powder, Egg Yolk*, Onion Powder, Spice, Beta Carotene (Color).
*Dried.",,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,
027000612323,29,76471,00027000612323,17b773f0-196b-11e2-9a8a-005056ab0051,1,ConAgra Foods Inc.,,Pure Wesson,Pure Wesson 100% Natural Vegetable Oil,,,"Usage tips:
Baking - substitute for melted butter, margarine or shortening.
Frying - perfect for pan frying.
Sautéing - chicken, meats, fish and vegetables.",,Soybean Oil.,,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,2,,,
048000000958,30,82831,00048000000958,5e1e8be0-5524-11e2-8c43-005056ab0051,1,Chicken of the Sea International,,Chicken of the Sea,Chicken of the Sea Solid White Albacore Tuna in Water,,,,,"Solid White Tuna, Water, Vegetable Broth (Contains Soy), Salt, Pyrophosphate.",Selenium--90%,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,"1,15",Y,,
019600046301,31,39296,00019600046301,a46e3a70-a4ec-11e1-b291-005056ab0051,1,Pinnacle Foods Group LLC,Pinnacle Foods Group LLC,Celeste,Celeste Pizza For One Original,,,"Keep frozen.
For food safety & quality, follow these cooking instructions. Do not thaw.
Conventional oven directions:
Do not put microwave disk in conventional oven.
For crisp crust:
1. Place baking sheet on center oven rack; preheat oven to 425 degrees F.
2. Remove frozen pizza from carton; unwrap.
3. Place frozen pizza on preheated baking sheet.
4. Rake 10 to 12 minutes or until center cheese is melted and crust edge is golden brown.
For extra crisp crust: place frozen pizza directly on center oven rack. Bake as directed.
Microwave oven directions:
Cook only 1 pizza at a time. Do not add additional toppings.
Microwave ovens vary. Pizza is thoroughly cooked when cheese is melted and hot (at least 165 degrees F).
1. Remove frozen pizza and microwave disk from carton; unwrap.
2. Center disk, silver side up, on microwave-safe plate. Place frozen pizza on disk.
3. Microwave on high (see chart below) or enter TrueCook code 1074.
Microwave oven - cook time.
1100 watt - 3 minutes.
700 watt - 5 minutes.
4. Use pot holders to remove plate from oven. Loosen pizza from disk with spatula.
Caution: disk and pizza will be very hot.
Note: microwave ovens vary. Cooking time may need to be adjusted.
Promptly refrigerate any unused portion.",,"Sauce (Tomato Puree [Water, Tomato Paste], Seasoning (Salt, Spices, Sugar, Dehydrated Garlic), Green Bell Peppers, Flavor Blend (Maltodextrin, Dextrose, Natural Spice Oleoresins), Modified Corn Starch, Corn Oil, Xanthan Gum), Imitation Mozzarella Cheese (Water, Soybean Oil, Casein (Milk), Modified Corn Starch, Sodium Aluminum Phosphate, Salt, Lactic Acid, Sodium Citrate, Mono and Diglycerides, Natural and Artificial Flavor, Sodium Phosphates, Sorbic Acid (to preserve freshness), Artificial Color), Crust: Wheat Flour with Malted Barley Flour, Water, Shortening Flake (Palm Oil, Soy Lecithin, Natural Butter Flavor and Beta Carotene), Soybean Oil, Yeast, High Fructose Corn Syrup, Salt, Fermented Wheat Flour, Cultured Corn Syrup Solids, Dough Conditioner (L-Cysteine Monohydrochloride).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
014500010995,32,21067,00014500010995,58689aa0-4de7-11e1-b154-005056957023,1,"Birds Eye Foods, Inc.",,Birds Eye,Birds Eye Steamfresh Super Sweet Corn,,,"Keep frozen.
*For proper food safety, cook 1 bag at a time to a temp. of 160 degrees F.
Refrigerate leftovers promptly; reheat before serving.
Cook thoroughly before eating.
Stove top: Place in saucepan with 1/4 cup water.
Bring water to boil over high heat; reduce to medium. Cover and cook 5 to 6 minutes. Drain and serve.
Microwave directions:
1) Place frozen, unopened bag this side up in microwave.
Do not pierce bag. For microwaves with a metal rack, remove rack.
2) Microwave on high for 4 to 5 1/2 minutes*.
During cooking, the bag will slowly inflate. A special vent in the bag will allow the steam to escape and a whistling sound may be heard.
3) Let stand for 1 minute after cooking.
Carefully handle bag at corners marked with the red dots and remove from microwave with two hands. Hold bag over serving dish. Tear bag at notch. Pour, stir and enjoy!",,Corn.,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
072521049608,33,83949,00072521049608,cdcdca20-505e-11e2-ad76-005056ab0051,1,Cott Beverages Inc.,,Vintage,Vintage Seltzer Original,,,,,Carbonated Water.,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,
019600046103,34,5783,00019600046103,17a741e0-a4ec-11e1-b291-005056ab0051,1,Pinnacle Foods Group LLC,Pinnacle Foods Group LLC,Celeste,Celeste Pizza For One Pepperoni,,,"Keep frozen.
Simply cook & serve.
Cook thoroughly. See back panel.
For food safety & quality, follow these cooking instructions. Do not thaw.
Conventional oven directions:
Do not put microwave disk in conventional oven.
For crisp crust:
1. Place baking sheet on center oven rack; preheat oven to 400 degrees F.
2. Remove frozen pizza from carton; unwrap.
3. Place frozen pizza on preheated baking sheet.
4. Bake 11 to 13 minutes or until center cheese is melted and crust edge is golden brown.
For extra crisp crust: Place frozen pizza directly on center oven rack. Bake as directed.
Microwave oven directions:
Cook only 1 pizza at a time. Do not add additional toppings.
Microwave ovens vary. Pizza is thoroughly cooked when cheese is melted and hot (at least 165 degrees F).
1. Remove frozen pizza and microwave disk from carton; unwrap.
2. Center disk, silver side up, on microwave-safe plate. Place frozen pizza on disk.
3. Microwave on high (see chart below) or enter TrueCook code 1080.
Microwave oven: cook time.
1100 watt: 3 minutes.
700 watt: 5 minutes.
4. Use pot holders to remove plate from oven. Loosen pizza from disk with spatula.
Caution: disk and pizza will be very hot.
Note: microwave ovens vary. Cooking time may need to be adjusted. Promptly refrigerate any unused portion. This product must be cooked to and internal temperature greater than 165 degrees F prior to eating.",,"Topping: Sauce (Tomato Puree [Water, Tomato Paste], Seasoning (Salt, Spices, Sugar, Dehydrated Garlic), Green Bell Peppers, Flavor Blend (Maltodextrin, Dextrose, Natural Spice Oleoresins), Modified Corn Starch, Corn Oil, Xanthan Gum), Imitation Mozzarella Cheese Blend (Water, Soybean Oil, Casein (Milk), Low Moisture Part Skim Mozzarella Cheese [Cultured Pasteurized Part Skim Milk, Salt, Enzymes], Modified Food Starch, Salt, Sodium Citrate, Sodium Aluminum Phosphate, Lactic Acid, Natural Flavor, Sodium Phosphates, Artificial Color, Mono and Diglycerides, Sorbic Acid (to Preserve Freshness), Artificial Flavor), Pepperoni (Pork, Beef, Salt, Water, Spices, Dextrose, Lactic Acid Starter Culture, Oleoresin of Paprika, Dehydrated Garlic, Sodium Nitrite, with TBHQ, BHT, and Citric Acid to Protect Flavor), Crust: Wheat Flour with Malted Barley Flour, Water, Shortening Flake (Palm, Oil, Soy Lecithin, Butter Flavor (Cottonseed Oil, Flavor), Beta Carotene), Soybean Oil, Yeast, High Fructose Corn Syrup, Salt, Fermented Wheat Flour, Cultured Corn Syrup Solids, Dough Conditioner (L-Cysteine Monohydrochloride).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
072940754008,35,106726,00072940754008,d35443d0-e414-11e2-a629-005056ab0051,1,Red Gold Inc.,Red Gold LLC.,Tuttorosso,Tuttorosso Italian Style Peeled Plum Shaped Tomatoes,,,,,"Tomatoes, Tomato Juice, Salt, Calcium Chloride, Citric Acid.",,,,Y,,,,,,,,Shelf Stable,,Y,,,,,,,,,,,1,Y,,
014800000344,37,90203,00014800000344,d86c71e0-4dc4-11e1-b154-005056957023,1,Mott's LLP,,Mott's,Mott's Original 100% Apple Juice - 64oz,,,,,"Water, Apple Juice Concentrate, Ascorbic Acid (Vitamin C).",,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
