Item UPC,Top 500,ID,UPC,Item Description,Manufacturer,Brand,Distributor,GS1 Category,Pkg Manufacturer,Pkg Manufacturer Address,Pkg Manufacturer Phone,Pkg Manufacturer Email,Pkg Manufacturer URL,Pkg Distributor,Pkg Distributor Address,Pkg Distributor Phone,Pkg Distributor Email,Pkg Distributor URL,Marketing Description,Other Description,Units In Package,Packaging Type,Packaging Size,Package Information,Created,Last Updated
054000150296,13,73394,00054000150296,SCOTT Bath Tissue White Bundle Pack 20-Pack 1000,"Kimberly-Clark Global Sales, LLC.",Scott,,(10000375) Toilet Paper,Kimberly-Clark Corporation,"P.O. Box 2020, Neenah, WI  54957-2020",,,,,,,,,"SCOTT® 1000 Tissue gives you the long-lasting quality you want in 1,000 septic safe sheets. Performance and long lasting rolls with the value you expect.",Performance and value you expect. Safe for septic systems.,0,BAG,1000.0 CT,,09/28/2012,10/01/2012
043000009536,14,52861,00043000009536,Kraft Cool Whip Original Whipped Topping,"Kraft Foods, Inc.",Kraft,"Kraft Foods Global, Inc.",(10000188) Cream/Cream Substitutes (Frozen),,"Northfield, IL 60093-2753 USA",1-800-431-1001,,coolwhip.com,,,,,,Kraft Cool Whip Original Whipped topping.,"Contains 0g of Lactose Per Serving.
Perfect Partners:
Top your favorite Jell-O Pudding or Gelatin Snacks with Cool Whip Whipped Topping for a delicious treat. Try it today!
coolwhip.com.
1-800-431-1001.
© Kraft Foods.",1,CONTAINER,8.0 OZ,,03/19/2012,04/06/2012
027700548748,15,89250,00027700548748,Mrs. Smith's Classic Apple Pie,The Schwan Food Company,Mrs. Smith's,,(10000245) Pies/Pastries Sweet (Frozen),,,,,,"Schwan's Consumer Brands, Inc","Bloomington, MN 55437",877-756-4746,,www.mrssmiths.com,Mrs. Smith's® Classic Apple Pie.,"Using recipes perfected in Amanda Smith's kitchen more than a century ago, the makers of Mrs. Smith's® desserts honor the original founder by crafting each pie and cobbler with the same attention to detail and premium quality ingredients. From the juiciest fruits to the flakiest crust, our desserts are bursting with a made-from-scratch goodness you can see and taste.
Mrs. Smith's® pies and cobblers ...a timeless tradition.
Home baked goodness for all occasions.
Signature deep-dish pies.
Our very best - family sized pies with made-from-scratch taste!
Fruit cobblers.
For home baked taste with lots of hearty fruit fillings!
Deep-dish pie shells.
Home-style flaky pie crusts - ready when you need them.
Please visit us at www.mrssmiths.com for more information about our products.
A subsidiary of The Schwan Food Company.
Questions or comments? Please include the proof of purchase panel when writing to: Schwan's Consumer Brands, Inc., Consumer Affairs Dep't., 307 West College Drive, Marshall, MN 56258.
Call us at: 877-756-4746, or visit our website at: www.mrssmiths.com.
©2012 Schwan's Consumer Brands, Inc.
All rights reserved.",1,BOX,27.0 OZ,,02/20/2013,03/05/2013
031200200075,16,12585,00031200200075,Ocean Spray Cranberry Juice Cocktail from Concentrate,"Ocean Spray Cranberries, Inc.",Ocean Spray,"Ocean Spray Cranberries, Inc.",(10000223) Juice Drinks Ready to Drink (Shelf Stable),,"Lakeville-Middleboro, Massachusetts 02349 USA",1-800-662-3263,,www.oceanspray.com,"Ocean Spray Cranberries Inc, a Grower Cooperative","Lakeville-Middleboro, Massachusetts 02349 USA",1-800-662-3263,,www.oceanspray.com,"Ocean Spray&#174;Cranberry Juice Cocktail from Concentrate
No high fructose corn syrup.
100% vitamin C.","Contains 27% fruit juice.
American Heart Association.
Meets American Heart Association food criteria for saturated and cholesterol for healthy people over age 2.**
heartcheckmark.org.
Thanks for choosing Ocean Spray: if you're not completely satisfied with our product, give us a call and we'll replace it: 1.800.662.3263, weekdays 9am to 4pm EST. Please have the entire package handy.
No artificial colors or flavors.
Made in the USA with North American cranberries.
**While many factors affect heart disease, diets low in saturated fat and cholesterol may reduce the risk of this disease.
2010 Best Taste. ChefsBest Award.
The ChefsBest&#174;award for best taste is awarded to the brand rated highest overall among leading brands by independent professional chefs.
Meet Our Growers.
We're proud members of the Ocean Spray cooperative, where the growers who harvest the cranberries also own the company. 
It all started with my great-great grandfather A.D. Makepeace. After 50 years in cranberries, his sons took over the business and banded together with two other families to form Ocean Spray. I was raised on the bog and even married a cranberry farmer. Growing cranberries is in our blood. And now my husband and I have started a legacy of our own, naming each of our bogs after a family member. Our newest bog was named 9 months ago after the birth of our first grandchild Charlotte, a 7th generation Makepeace.
Sue Gilmore & Family. 
5th generation growers 
South Carver, MA.
For more about the Gilmore family, visit www.oceanspray.com.
Growers owned Ocean Spray&#174;since 1930.
Pasteurized.",1,BOTTLE,64.0 FL OZ,,08/05/2011,08/26/2011
027700548816,17,89251,00027700548816,Mrs. Smith's Classic Pumpkin Pie,The Schwan Food Company,Mrs. Smith's,"Schwan's Consumer Brands North America, Inc.",(10000245) Pies/Pastries Sweet (Frozen),,,,,,"Schwan's Consumer Brands, Inc","Bloomington, MN 55437",877-756-4746,,www.mrssmiths.com,Mrs. Smith's® Classic Pumpkin Pie.,"Using recipes perfected in Amanda Smith's kitchen more than a century ago, the makers of Mrs. Smith's® desserts honor the original founder by crafting each pie and cobbler with the same attention to detail and premium quality ingredients. From the juiciest fruits to the flakiest crust, our desserts are bursting with a made-from-scratch goodness you can see and taste.
Mrs. Smith's® pies and cobblers...A timeless tradition.
Home baked goodness for all occasions.
Signature deep dish pies.
Our very best - family sized pies with made-from- scratch taste!
Fruit cobblers.
For home baked taste with lots of hearty fruit fillings!
Deep dish pie shells.
Home-style flaky pie crusts - ready when you need them.
Please visit us at www.mrssmiths.com for more information about our products.
A subsidiary of The Schwan Food Company.
Questions or comments? Please include the proof of purchase panel when writing to: Schwan's Consumer Brands, Inc., Consumer Affairs Dep't., 307 West College Drive, Marshall, MN 562r58.
Call us at: 877-756-4746, or visit our website at: www.mrssmiths.com.
©2012 Schwan's Consumer Brands, Inc.
All rights reserved.",1,BOX,27.0 OZ,,02/20/2013,03/05/2013
077567254238,18,24617,00077567254238,Breyers Natural Vanilla Ice Cream,Good Humor-Breyers Ice Cream,Breyers,,(10000215) Ice Cream/Ice Novelties (Frozen),,Englewood Cliffs NJ 07632 USA,800-931-2826,,breyers.com,,,,,,"Breyers???? Natural Vanilla Ice Cream.
Quality Since 1866.
America's Favorite Vanilla Ice Cream!
Made with real vanilla bean flecks.
1.5 quart (1.41L).","Breyers???? Pledge.
At Breyers???? We Put A Lot Of Love Into Our Products, And That Is Why We Pledge To Use Only High Quality Ingredients.
Founded 1866.
Breyers???? Natural Vanilla ice cream:
The vanilla ice cream!
The classic, delicious vanilla flavor you know and love.
Made from vanilla beans with flecks that tell you it's real vanilla.
Visit breyers.com for fun and delicious recipes using Breyers???? ice cream!
breyers.com 800-931-2826.
Guarantee: if you are not satisfied with this product or have any questions or comments. Please send the UPC code and stamped information from the bottom of this container to: consumer relations, address listed above.
????Unilever.",1,CONTAINER,1.5 QT,,12/28/2011,01/09/2012
071300000809,19,44820,00071300000809,Ronzoni Enriched Macaroni Product Lasagna,New World Pasta Company,Ronzoni,New World Pasta Company,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,,,,,New World Pasta Co,"Harrisburg, Pennsylvania 17112-6457 U.S.A.",1-800-730-5957,,www.ronzoni.com,"Ronzoni® Enriched Macaroni Product Lasagna.
Simply Perfect Pasta.","We have been trusted for generations to ensure that only the finest quality ingredients make it from the field to your family's table. Today, our special flour blend ensures that Ronzoni pasta is... always firm. Never sticky. Simply delicious.
We guarantee it!
Ronzoni Sono Buoni... Ronzoni is So Good®.
A low fat, sodium free, cholesterol free food.
Questions or comments, visit our web site or call 1-800-730-5957.
For delicious recipes and cooking tips visit www.ronzoni.com.
©NWPC.",1,BOX,1.0 LB,,05/15/2012,05/27/2012
054000100604,22,72752,00054000100604,SCOTT Bath Tissue White 12-Pack 1000,"Kimberly-Clark Global Sales, LLC.",Scott,,(10000375) Toilet Paper,,"P.O. Box 2020, Neenah, WI  54957-2020",,,,,,,,,"SCOTT® 1000 Tissue gives you the long-lasting quality you want in 1,000 septic safe sheets. Performance and long lasting rolls with the value you expect.",Performance and value you expect. Safe for septic systems.,1,BAG,1000.0 CT,,09/17/2012,09/27/2012
611443340013,23,56651,00611443340013,Kitchen Basics Chicken Cooking Stock,Kitchen Basics Inc.,Kitchen Basics,,(10000262) Soups Prepared (Shelf Stable),,"P.O. Box 41022 Brecksville, OH 44141",(440) 838-1344,,www.kitchenbasics.net,,,,,,"Kitchen Basics&#174; Chicken Cooking Stock.
All natural.
Original.
Heart healthy*.
Slowly simmered from chicken, vegetables & herbs.
American Heart Association.
Meets American Heart Association food criteria for saturated fat and cholesterol for healthy people over age 2.
Heartcheckmark.org.
5g protein.
0g fats.
430mg sodium.
Rich flavor.
Close to homemade.
See side panel for information about saturated fats, cholesterol and heart disease.
Less sodium*.
No glutens.
No MSG.","While many factors affect heart disease, diets low in saturated fat and cholesterol may reduce the risk of this disease.
Compare stock & broth*.
This stock contains 5g protein vs. the leading broth at 1g and it has less than half the sodium at 430mg vs. the leading broth at 960mg (per cup).
Recyclable only where facilities exist. To find out, visit: www.recyclecartons.com.
For other heart healthy links, fantastic meal ideas, & heart healthy recipes, visit kitchenbasics.net/hearthealthy.
Kitchen Basics... An American Original.
Cooking stock is a central ingredient for soups, sauces and marinades. It is used by many to flavor vegetables, potatoes and rice dishes. For years, making stock from scratch has been the only way health conscious cooks have been able to control and limit ingredients, such as salts and chemicals.
But who has the time to make stock from scratch?
In 1996, we were the first to introduce ready to use cooking stocks. Our stocks are slowly simmered from meat, vegetables and herbs, without added or produced MSG, additives or excess salts.
We know that it's hard to make healthy food choices with confidence. So, this all-natural, rich-tasting, gluten-free chicken stock is now certified by the American Heart Association which gives shoppers confidence that this product has been screened and verified to meet the American Heart Association's certification criteria to be low in saturated fat and cholesterol for healthy people over age 2.
Usage ideas. Use in any recipe calling for broth, stock, bouillon or water. For more usage ideas visit www.kitchenbasics.net.
Founder Paul Hamerly with Chef & VP Product Development ED Marlier.
Tetra Brik&#153;.
Aseptic Tetra Pak.
www.tetrapakusa.com.
TetraPak
Protects 
What's good&#153;.
Dark rich.
Store Locator / Info 
www.kitchenbasics.net 
(440) 838-1344.
Our pledge.
Guaranteed satisfaction. If you are not happy with any of our products, please call or write. If possible, save the box and purchase receipt.
&#169;Kitchen Basics Inc. 2009.",1,BOX,32.0 FL OZ,,08/15/2011,09/14/2011
072940757016,24,106725,00072940757016,Tuttorosso New World Style Tomato Puree,Red Gold Inc.,Tuttorosso,Red Gold LLC.,(10000206) Fruit Prepared/Processed (Shelf Stable),,,,,,"Red Gold, LLC","PO Box 83, Elwood, IN 46036",1-866-729-7187,,www.tuttorossotomatoes.com,"Tuttorosso® New World Style Tomato Puree.
100% Natural.
See back panel for nutrition information.","Health information. 100% natural - no artificial colors, flavors or preservatives.
The antioxidant Lycopene is found naturally in tomatoes.
A fat free food.
Good source of vitamin A.
A gluten free food.
Steel, please recycle.
Inquiries? 1-866-729-7187.
www.tuttorossotomatoes.com.",1,CAN,28.0 OZ,,07/03/2013,07/25/2013
070662010037,25,47796,00070662010037,Nissin Top Ramen Oodles of Noodles Chicken Flavor Ramen Noodle Soup,Nissin Foods USA Co Inc.,Nissin,,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,"2001 W. Rosecrans Ave., Gardena, CA 90249",,,www.nissinfoods.com,,,,,,"Nissin®Top Ramen® Oodles of Noodles® Chicken Flavor Ramen Noodle Soup.
Cooks in 3 Minutes.
0g trans fat.
See nutrition info for sodium content.","www.nissinfoods.com.
Top Ramen® for the very best in Ramen Noodle Soup®.
Nissin top Ramen is America's original ramen noodle soup and a family favorite since 1970.
Original ramen noodle soup.
Family Favorite Since 1970.
To Ramen® Oodles of Noodles.",1,BAG,3.0 OZ,,03/16/2012,05/18/2012
071300000359,26,32597,00071300000359,Ronzoni Enriched Macaroni Product Elbows,New World Pasta Company,Ronzoni,New World Pasta Company,(10000242) Pasta/Noodles Not Ready to Eat (Shelf Stable),,,,,,New World Pasta Co,"Harrisburg, Pennsylvania 17112-6457 U.S.A",1-800-730-5957,,www.ronzoni.com,"Ronzoni® Enriched Macaroni Product Elbows.
Simply Perfect Pasta.","We have been trusted for generations to ensure that only the finest quality ingredients make it from the field to your family's table. Today, our special flour blend ensures that Ronzoni pasta is...Always firm. Never sticky. Simply delicious.
We guarantee it!
Ronzoni is Good!®.
A low fat, sodium free, cholesterol free food.
For delicious-recipes and cooking tips visit www.ronzoni.com.
Questions or comments, visit our web site or call 1-800-730-5957.
Contents may settle. Product sold by weight not volume.
©NWPC.",1,BOX,1.0 LB,,05/15/2012,05/27/2012
027000690611,27,76472,00027000690611,Pure Wesson 100% Natural Canola Oil,ConAgra Foods Inc.,Pure Wesson,,(10000040) Oils Edible Vegetable or Plant (Shelf Stable),,"P.O. Box 3768, Dept. W Omaha, NE 68103-0768 U.S.A.",1-800-582-7809,,www.conagrafoods.com,,,,,,"Pure Wesson® 100% Natural Canola Oil.
See back panel for information about the relationship between canola oil and coronary heart disease.
Excellent source of:
Omega-3 ALA*.
0g trans fat per serving.
Cholesterol free.
See nutrition information for fat content. Canola oil is a cholesterol-free food with 14 grams total fat per serving.
1 gallon (3.79L).","Good for your heart.
Pure Wesson 100% natural canola oil is the most versatile type of vegetable oil and it provides the best nutritional balance of all popular cooking oils.
Limited and not conclusive scientific evidence suggests that eating about 1 1/2 tablespoons (19 grams) of canola oil daily may reduce the risk of coronary heart disease due to the unsaturated fat content in canola oil. To achieve this possible benefit, canola oil is to replace a similar amount of saturated fat and not increase the total number of calories you eat in a day. One serving of this product contains 14 grams of canola oil. See nutritional information for total fat content.
*Contains 1112mg per serving, which is 69% of the 1.6g daily value for ALA.
ConAgra Foods®.
www.conagrafoods.com.
Questions or comments, call Mon. -Fri. 9:00AM - 7:00 PM (CST), 1-800-582-7809 (except national holidays). Please have entire package available when you call so we may gather information off the label.",1,BOTTLE,1.0 GAL,,10/18/2012,11/01/2012
041196010886,28,52028,00041196010886,Progresso Traditional Chicken Noodle Soup,"General Mills, Inc.",Progresso,Progresso Foods,(10000262) Soups Prepared (Shelf Stable),,,,,,"Progresso Foods Division, General Mills Cereals, LLC","Minneapolis, MN 55440 USA",1-800-200-9377,,www.progessosoup.com,"Progresso&#174; Traditional Chicken Noodle Soup.
Quality foods.
Inspected for wholesomeness by U.S. Department of Agriculture.
100 calories per serving.
See nutrition information for sodium content.","Low fat.
No MSG added*.
No artificial flavors.
*Except that which occurs naturally in yeast extract and hydrolyzed vegetable proteins.
Exchanges: 1 Starch, 1/2 lean meat based on American Dietetic Association and American Diabetes Association criteria.
Visit our website at www.progressosoup.com.
Questions, comments? Save can and call 1-800-200-9377 weekdays 7:30 a.m. to 5:30 p.m. CT. Se habla espnanol.
&#169;2010 Pet Incorporated.",1,CAN,19.0 OZ,,07/27/2011,08/23/2011
027000612323,29,76471,00027000612323,Pure Wesson 100% Natural Vegetable Oil,ConAgra Foods Inc.,Pure Wesson,,(10000040) Oils Edible Vegetable or Plant (Shelf Stable),,"P.O. Box 3768, Dept. W Omaha, NE 68103-0768 U.S.A",1-800-582-7809,,www.conagrafoods.com,,,,,,"Pure Wesson® 100% Natural Vegetable Oil.
Excellent source of:
Omega-3 ALA*.
0g trans fat per serving.
Cholesterol free.
See nutrition information for fat content. Vegetable oil is a cholesterol-free food with 14 grams total fat per serving.
1 gallon (3.79L).","Great versatile all-purpose oil.
Pure Wesson 100% natural vegetable oil is the perfect all-purpose cooking oil that can be used for baking or frying because its light taste lets your cooking flavors shine through.
*Contains 674mg per serving, which is 42% of the 1.6g daily value for ALA.
ConAgra Foods®.
Questions or comments, call Mon.-Fri., 9:00 AM - 7.00 PM (CST), 1-800-582-7809 (except national holidays). Please have entire package available when you call so we may gather information off the label.
www.conagrafoods.com.",1,BOTTLE,1.0 GAL,,10/18/2012,11/01/2012
048000000958,30,82831,00048000000958,Chicken of the Sea Solid White Albacore Tuna in Water,Chicken of the Sea International,Chicken of the Sea,,(10000018) Fish Prepared/Processed (Shelf Stable),,,,,,Chicken of the Sea International,"San Diego, CA 92121 USA",,,www.chickenofthesea.com,"Chicken of the Sea® Solid White Albacore Tuna in Water.
The best tuna.
Heart healthy omega-3*.
Naturally 98% fat free high in protein.","*Supportive but not conclusive research shows that consumption of EPA and DHA omega-3 fatty acids may reduce the risk of coronary heart disease. One serving of white tuna in water provides 0.3 grams of EPA and DHA omega-3 fatty acids. See nutrition information for total fat, saturated fat and cholesterol content.
Product may contain bones.
100% recyclable packaging.
Wild caught.
Dolphin safe.
Send product comments to (include number from your can): Chicken of the Sea International, Consumer Affairs, P.O. Box 85568, San Diego, CA 92138-5568.
Find great recipes at: www.chickenofthesea.com.
©2010 Chicken of the Sea Intl.",1,CAN,5.0 OZ,,01/02/2013,01/14/2013
019600046301,31,39296,00019600046301,Celeste Pizza For One Original,Pinnacle Foods Group LLC,Celeste,Pinnacle Foods Group LLC,(10000248) Pies/Pastries/Pizzas/Quiches Savoury (Frozen),,,,,,Pinnacle Foods Group LLC,"Cherry Hill, NJ 08003-3620 USA",1-800-768-6287,,www.celeste-pizza.com,"Celeste?? Pizza For One??? Original.
Authentic Italian since 1930.
Original.
Microwaves in minutes.
True Cook Plus??.","Celeste?? Pizza For One??? brings generations of authentic Italian taste and quality. Savor every bite with mama's zesty sauce, bursting with the flavor of plump tomatoes and just the right amount of spices and popular toppings. Celeste pizza for one...
Try these other delicious varieties:
Celeste??, pizza for one,??? pepperoni.
Celeste??, pizza for one???, 4 cheese.
Questions or comments? 1-800-768-6287 www.celeste-pizza.com.",1,BOX,5.08 OZ,,05/23/2012,06/06/2012
