Item UPC,Top 500,ID,UPC,Product ID,Warning
041196010886,28,52028,00041196010886,dabe5a20-b874-11e0-975d-005056957023,"Contains Wheat, Egg and Soy ingredients.
Do not use if tab is lifted.
Caution: edges will be sharp."
027000612323,29,76471,00027000612323,17b773f0-196b-11e2-9a8a-005056ab0051,"Caution: oil will burn if overheated. Do not leave unattended while heating. If oil smokes, reduce heat. If oil catches fire. Turn off heat and cover pot until cooled. Do not pour water on hot or flaming oil. Do not pour hot oil back into this plastic container."
019600046301,31,39296,00019600046301,a46e3a70-a4ec-11e1-b291-005056ab0051,"Do not purchase if carton is open or torn.
Contains: milk, wheat, soy."
014500010995,32,21067,00014500010995,58689aa0-4de7-11e1-b154-005056957023,Caution! Contents are hot!
019600046103,34,5783,00019600046103,17a741e0-a4ec-11e1-b291-005056ab0051,"Contains: wheat, soy, milk."
041789001215,39,57451,00041789001215,f206acf0-c75b-11e0-bffd-005056957023,"Contains wheat, soy and milk ingredients. Manufactured in a facility that also processes shellfish and fish products.
Caution: hot!
Handle with care especially when serving children.
Do not microwave."
071300000083,42,29539,00071300000083,7ab89630-9ea7-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
070662030035,43,34410,00070662030035,89aa3230-d264-11e0-affb-005056957023,"Contains wheat and soybean.
Manufactured in a facility that processes milk, egg, peanut, tree nuts, crustacean shellfish, and fish products.
Do not purchase if cup is open or torn.
Caution: hot! Handle with care.
Caution: product is hot; please handle with care."
761720058206,45,101300,00761720058206,b326c650-c79a-11e2-9bab-005056ab0051,"Caution: oil burns if overheated. If oil smokes, reduce heat.
Do not leave unattended when heating.
Do not put water on hot or flaming oil.
Do not pour hot oil into any plastic bottle.
Do not place container near heat or flame.
If oil catches fire, turn off heat and cover until cooled. Do not use water."
014500011282,47,112698,00014500011282,28178260-0b52-11e3-9b46-005056ab0051,Caution! Contents are hot!
761720058596,49,80676,00761720058596,1b518630-4874-11e2-b0de-005056ab0051,"Caution: oil burns if overheated. If oil smokes, reduce heat.
Do not leave unattended when heating.
Do not put water on hot or flaming oil.
Do not pour hot oil into any plastic bottle.
Do not place container near heat or flame.
If oil catches fire, turn off heat and cover until cooled. Do not use water."
041789002311,50,33311,00041789002311,8b356d30-bf78-11e0-935b-005056957023,"Contains wheat, soy and milk ingredients. Manufactured in a facility that also processes shellfish and fish products."
041196010329,51,4416,00041196010329,11633f80-541c-11e1-aec1-005056957023,"Contains soy, wheat, egg and milk ingredients.
Caution: edges will be sharp.
Do not use if tab is lifted.
Do not add water."
013800103406,52,57756,00013800103406,f2dec300-bbb7-11e1-81c1-005056ab0051,"Contains: Milk, Soy, Wheat Ingredients."
013000799102,53,55584,00013000799102,e9cd2980-4d1e-11e1-a2c8-005056957023,"Safety button.
Reject if button is up.
Contains wheat, milk, soybeans."
014500011008,55,58344,00014500011008,f5f67430-4de3-11e1-b154-005056957023,Caution: contents are hot!
027700548434,57,104945,00027700548434,46d4f060-ea5b-11e2-8c22-005056ab0051,Contains: wheat and milk.
611443345032,58,79472,00611443345032,49fe7710-29e1-11e2-922e-005056ab0051,"Do not buy if opened or punctured.
We test!
Allergen watch.
We reduce the risk of allergen reactions by specifying that our ingredients must not contain *milk, *eggs, *peanuts, *glutens, soy, tree nuts, fish, shellfish or corn. We do not autolyze, hydrolyze, add or produce MSG. *Each production run is tested for the absence of these allergens to 5ppm. To review our allergen policies, visit www.kitchenbasics.net and discuss with your allergist."
071300000014,66,18034,00071300000014,4a8c21d0-9e9c-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
072486002205,67,7626,00072486002205,1f7a4e40-5743-11e1-b1b2-005056957023,Contains: Wheat.
071300000274,68,17501,00071300000274,48073690-9e9a-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
071300000090,72,34977,00071300000090,91d1e860-9ea9-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
016000275270,73,131230,00016000275270,effc15f0-6829-11e3-94af-005056ab0051,Contains almond; may contain wheat ingredients.
038000402609,74,26285,00038000402609,6d018600-58ca-11e1-8be4-005056957023,"Contains wheat, egg, milk and soy ingredients."
071300000021,75,1719,00071300000021,04eaa980-9e9c-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
024600046589,79,134689,00024600046589,cb864230-839b-11e3-baaf-005056ab0051,"All deicers can accelerate surface damage to concrete, since they increase the number of freeze-thaw cycles. Poor quality concrete is especially susceptible to deicer damage. Use this product only on properly formulated, cured, air-entrained concrete. Do not use on concrete less than one year old or on brick or flagstone walkways having mortar joints. Do not take internally. Avoid contact with eyes, skin or clothing. Wash thoroughly after handling. This product must be used at the user's own risk of loss or damage from its use, storage or handling."
041196915051,82,94905,00041196915051,335a1490-b1d8-11e2-aacd-005056ab0051,"Contains wheat, egg, soy and milk ingredients."
070085060107,83,56070,00070085060107,c147ec90-8d72-11e1-b1b9-005056ab0051,"Contains wheat, soybeans, milk."
027000650615,87,76470,00027000650615,585f13f0-196a-11e2-9a8a-005056ab0051,"Caution: oil will burn if overheated. Do not leave unattended while heating. If oil smokes, reduce heat. If oil catches fire. Turn off heat and cover pot until cooled. Do not pour water on hot or flaming oil. Do not pour hot oil back into this plastic container."
041196011128,88,27488,00041196011128,72a44bc0-b478-11e0-80b2-005056957023,"Contains Clam, Milk, Soy, Lobster, Shrimp, Crab, Tuna, Cod, Blue Whiting, Haddock, Pollock, Halibut and Redfish ingredients. 
Caution: Edges will be sharp.
Do not use if tab is lifted."
051500795903,89,37510,00051500795903,0c749a00-5f0c-11e1-a6a8-005056957023,"Contains milk, soybean and wheat ingredients.
May contain egg ingredients."
019600050308,91,29674,00019600050308,7c0bb4b0-a4ea-11e1-b291-005056ab0051,"Do not purchase if carton is open or torn.
Contains: wheat, soy, milk."
041206612604,96,52787,00041206612604,d1c59bc0-dda0-11e1-8799-005056ab0051,"Contains: milk, wheat."
013600020224,97,39038,00013600020224,9ad72c50-cc48-11e1-8e1b-005056ab0051,"Caution: use as directed.
Precautions and best practices:
Diamond Crystal* Winter Melt* is not intended for human or animal consumption. If ingested, drink water. If discomfort occurs or persists, contact your doctor or veterinarian.
Winter Melt* ice melter may be used to remove snow and ice from concrete sidewalks, parking lots and asphalt surfaces. However, all ice-melting agents work by reducing the freezing point of water. This may result in more frequent freeze-thaw cycling of the melted snow and ice, which can cause surface scaling of concrete. As such, use only on properly placed, cured and sealed, air-entrained concrete. To lessen the possibility of freeze-thaw cycling and potential damage, promptly remove slush as it is formed. Do not use on porous or improperly cured concrete, concrete less than one year old, precast concrete items, masonry, mortar, wood or other porous materials. As with any ice-melting agent, particular care should be used when grass and vegetation are adjacent to the deicing surface as excess application may cause damage.
Consumer uses this product at his/her own risk."
070575040091,100,102410,00070575040091,d0291470-de96-11e2-a2d2-005056ab0051,"Contains: soy, wheat, milk."
024000322306,101,108020,00024000322306,11396350-f95b-11e2-9937-005056ab0051,Contains: Wheat.
051500766422,104,97625,00051500766422,fe4693b0-5f0c-11e1-a6a8-005056957023,"Contains wheat ingredients.
May contain milk and soybean ingredients."
071300000762,105,51798,00071300000762,d9119340-9e9c-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
016000197268,106,134396,00016000197268,6aeccf50-7d35-11e3-8545-005056ab0051,Contains wheat; may contain milk ingredients.
027700548755,107,104943,00027700548755,aec0e6d0-ea5a-11e2-8c22-005056ab0051,Contains: Wheat and milk.
013000798006,108,27416,00013000798006,72488b20-4d1e-11e1-a2c8-005056957023,"Contains wheat, milk, soybeans.
Safety button. Reject if button is up."
019600045809,110,31589,00019600045809,83e57b70-a4eb-11e1-b291-005056ab0051,"Contains: wheat, soy, milk.
Do not purchase if carton is open or torn."
644209410200,111,55592,00644209410200,e91dee10-a44f-11e1-8f1a-005056ab0051,Contains: wheat.
048000013651,112,79296,00048000013651,966caee0-3978-11e2-a1a8-005056ab0051,Product may contain bones.
041789006210,115,54474,00041789006210,e514fe90-c759-11e0-bffd-005056957023,"Contains wheat, soy and milk ingredients. Manufactured in a facility that also processes shellfish and fish products."
076808280739,117,93145,00076808280739,73d0fac0-9d56-11e2-b0b3-005056ab0051,"Contains wheat ingredients.
This product is manufactured on equipment that processes products containing eggs."
029839005062,120,9077,00029839005062,14f1e300-fff2-11e0-9ca3-005056957023,Allergen information: contains milk.
043000002742,125,6375,00043000002742,0ca6d400-71d8-11e1-bae2-005056ab0051,Contains: Milk.
613008717810,126,57697,00613008717810,f359cdb0-ca78-11e0-85d4-005056957023,Contains a small amount of honey not for use by diabetics without advice of a physician.
070662030011,127,2341,00070662030011,09035ca0-d265-11e0-affb-005056957023,"Contains wheat and soybean.
Manufactured in a facility that processes milk, egg, peanut, tree nuts, crustacean shellfish, and fish products.
Do not microwave.
Caution: product is hot; please handle with care. Do not purchase if cup is open or torn.
Caution: hot! Handle with care."
041196891072,129,84761,00041196891072,c9f28000-6b1e-11e2-b25b-005056ab0051,"Contains wheat, soy, milk, sesame, egg and sunflower ingredients."
042000963657,131,84201,00042000963657,c2471c10-59e1-11e2-b975-005056ab0051,"Warning: to avoid danger of injury or suffocation, keep this plastic packaging away from babies and children."
070662035030,133,56158,00070662035030,ebad1571-bf76-11e0-935b-005056957023,"Contains wheat and soybean.
Manufactured in a facility that processes milk, egg, peanut, tree nuts, crustacean shellfish, and fish products."
045300005492,134,12794,00045300005492,2da886d0-0a8d-11df-b4a8-005056957023,Contains: peanuts.
041789001314,136,25145,00041789001314,68d61970-bf77-11e0-935b-005056957023,"Contains wheat, soy and milk ingredients. Manufactured in a facility that also processes shellfish and fish products."
051500204412,137,43443,00051500204412,b4e7e9a0-69ff-11e1-831f-005056ab0051,Contains Wheat Ingredients.
013000798204,138,27469,00013000798204,722e68e0-4d1d-11e1-a2c8-005056957023,"Contains wheat, milk, soybeans.
Safety button. Reject if button is up."
051500794203,139,97622,00051500794203,572cc170-5f0d-11e1-a6a8-005056957023,"Contains milk and wheat ingredients.
May contain egg and soybean ingredients."
884912014245,140,133095,00884912014245,cd2d2660-67fa-11e3-94af-005056ab0051,"Contains: wheat, milk."
051500602355,141,97639,00051500602355,7055d290-1eb6-11e2-80b6-005056ab0051,"Contains Milk and Wheat ingredients. 
May contain Soybean ingredients."
079606010157,148,93715,00079606010157,c8ebf830-b1b9-11e2-aacd-005056ab0051,"Contains: wheat, soy.
Caution: filling may be hot."
077644301329,152,59778,00077644301329,212db080-3eb5-11e0-82ca-005056957023,Contains: milk.
071300000755,157,16266,00071300000755,431bc3e0-9e9e-11e1-a291-005056ab0051,Allergen information: contains wheat ingredients and is manufactured in a facility that uses eggs.
071300001240,159,40644,00071300001240,a931acb0-9e9b-11e1-a291-005056ab0051,Allergen Information: Contains Wheat ingredients and is manufactured in a facility that uses Eggs.
019600052005,160,41994,00019600052005,afcdb870-a4e0-11e1-b291-005056ab0051,"Contains: Wheat, Eggs, Milk, Soy.
Do not purchase if carton is open or torn."
076808502947,162,91016,00076808502947,fc1e9280-8694-11e2-900e-005056ab0051,Contains wheat ingredients. This product is manufactured on equipment that processes products containing eggs.
044600307695,163,42345,00044600307695,b0806650-f1f2-11e1-9161-005056ab0051,"Keep out of reach of children.
Danger: corrosive.
First aid: if in eyes: hold eye open and rinse slowly and gently with water for 15-20 minutes. Remove contact lenses, if present, after the first 5 minutes, then continue rinsing eye. If on skin or clothing: take off contaminated clothing. Rinse skin immediately with plenty of water for 15-20 minutes. In either case, call a poison control center or doctor immediately for treatment advice. See back panel for additional precautionary labeling.
Precautionary statements: hazards to humans and domestic animals.
Danger: corrosive. Causes irreversible eye damage and skin burns. Harmful if swallowed. Do not get in eyes, on skin or on clothing. Water protective eyewear and rubber gloves when handling this product. Wash thoroughly with soap and water after handling and before eating, drinking, chewing gum, using tobacco, or using the restroom. Avoid breathing vapors and use only in a well ventilated area. 
First aid: if in eyes: hold eye open and rinse slowly and gently with water for 15-20 minutes. Remove contact lenses, if present, after the first 5 minutes, then continue rinsing eye. Call a poison control center or doctor for treatment advice. If on skin or clothing: take off contaminated clothing. Rinse skin immediately with plenty of water for 15-20 minutes. Call a poison control center or doctor for treatment advice. If swallowed: have person sip a glassful of water if able to swallow. Do not induce vomiting unless told to do so by a poison control center or doctor. Do not give anything by mouth to an unconscious person. Note to physician: probable mucosal damage may contraindicate the use of gastric lavage. Call a poison control center or doctor immediately for further treatment advice. Have product container or label with you when calling a poison control center or doctor, or going for treatment.
Clorox information line: 1-800-292-2200. Physical or chemical hazards: product contains a strong oxidizer. Always flush drains before and after use. Do not use or mix with other household chemicals, such as toilet bowl cleaners, rust removers, acids or products containing ammonia. To do so will release hazardous, irritating gases. Prolonged contact with metal may cause pitting or discoloration. Environmental hazards: this product is toxic to fish, aquatic invertebrates, oysters and shrimp.
Storage and disposal:
Store away from children.
Reclose cap tightly after each use. Store this product upright in a cool, dry area, away from direct sunlight and heat to avoid deterioration. Nonrefillable, container. Do not reuse or refill this container. Recycle empty container or discard in trash. Do not contaminate food or food by storage and disposal of this product."
895059000619,166,56647,00895059000619,ee552830-4392-11e1-9625-005056957023,Contains Wheat ingredients. This product is manufactured on equipment that processes products containing Eggs.
031000101015,167,36879,00031000101015,99e9cdd0-b649-11e1-890f-005056ab0051,"Contains: soy, wheat, milk."
071300000908,168,59484,00071300000908,f8ef2150-9ea1-11e1-a291-005056ab0051,Allergen information: contains wheat ingredients and is manufactured in a facility that uses eggs.
051000076250,169,104940,00051000076250,49ef4530-ea5a-11e2-8c22-005056ab0051,Do not purchase if carton is open or torn.
041196010008,170,28484,00041196010008,75a75c20-b484-11e0-80b2-005056957023,"Caution: edges will be sharp.
Contains soy and egg ingredients.
Do not purchase if tab is lifted."
071091000071,171,23895,00071091000071,63ed5220-cc46-11e1-8e1b-005056ab0051,Fluoride added. Consult your physician or dental professional if using another fluoridated product. Not an oral electrolyte solution.
051000025548,172,43968,00051000025548,b79553f0-5be9-11e1-9a0e-005056957023,Caution: metal edges are sharp.
076808516135,174,74552,00076808516135,98fc9a30-1a0b-11e2-877e-005056ab0051,"Contains Wheat ingredients. 
This product is manufactured on equipment that processes products containing Eggs."
024000305705,175,19785,00024000305705,52561ea0-c758-11e0-bffd-005056957023,Contains: wheat.
043000285213,176,79863,00043000285213,36befd30-5bda-11e1-9a0e-005056957023,"Contains: Wheat, Soy."
044600020013,177,6852,00044600020013,1bc626d0-7295-11e1-b1af-005056ab0051,"Toxoplasmosis warning:
We would like to remind our customers, especially pregnant women and immunosuppressed persons, that cat feces can sometimes transmit a disease called toxoplasmosis. Therefore, always remember to wash hands thoroughly after handling used cat litter. For further information, consult your doctor. Unused cat litter poses no toxoplasmosis threat."
043032027164,178,84100,00043032027164,4215d810-64cc-11e2-b23a-005056ab0051,"Warning: to avoid danger of injury or suffocation, keep this plastic packaging away from babies & children.
Caution: improper microwave use can cause any paper product to burn. Observe precautions in the microwave oven owner's manual. In case of fire, turn microwave off and leave door closed."
013000798501,180,52945,00013000798501,ddb4b970-908e-11e1-9505-005056ab0051,"Contains soybeans, wheat, milk.
Safety button. Reject if button is up."
019600044000,181,1799,00019600044000,06d393d0-a4e9-11e1-b291-005056ab0051,"Do not purchase if carton is open or torn.
Contains: milk, wheat, soy."
041196010954,182,57118,00041196010954,f0739db0-b47f-11e0-80b2-005056957023,"Caution: edges will be sharp.
Do not use if tab is lifted.
Contains Soy ingredients."
038000402906,183,42716,00038000402906,b1d05b20-58c1-11e1-8be4-005056957023,"Contains wheat, egg, milk and soy ingredients."
033200011101,184,11357,00033200011101,2f65c3f0-4b79-11e1-9967-005056957023,"Ask a doctor before use if you have a sodium restricted diet.
Ask a doctor or pharmacist before use if you are taking a prescription drug. Antacids may interact with certain prescription drugs.
Do not administer to children under age 5.
Stomach warning: to avoid serious injury, do not take until powder is completely dissolved. It is very important not to take this product when overly full from food or drink. Consult a doctor if severe stomach pain occurs after taking this product.
Stop use and ask a doctor if symptoms last more than 2 weeks."
087684001073,187,54577,00087684001073,a82fe421-c391-11e0-98a0-005056957023,"Do not drink if pouch is leaking, damaged, or swollen as fermentation can occur."
020000001807,190,41536,00020000001807,ad72d240-4ddd-11e1-b154-005056957023,Contains milk ingredients.
043695071115,192,7803,00043695071115,1f6a75b0-5f18-11e1-a6a8-005056957023,"Contains Wheat, Milk, Egg & Soy Ingredients."
079606010256,193,93713,00079606010256,6c88e340-b1ba-11e2-aacd-005056ab0051,"Contains: wheat, soy.
Caution: filling may be hot."
043000009505,195,31357,00043000009505,81227820-71d8-11e1-bae2-005056ab0051,Contains: Milk.
086600000206,197,30104,00086600000206,7d4d4f40-6f9e-11e1-a10c-005056ab0051,"Contains: Tuna, Soy.
May Contain Bones."
041789001253,198,30795,00041789001253,812478b0-c75a-11e0-bffd-005056957023,"Caution: hot!
Handle with care especially when serving children.
Do not microwave.
Contains: Wheat, Soy, Shrimp and Milk ingredients. 
Manufactured in a facility that also processes shellfish and fish products."
054000101830,199,114218,00054000101830,279cec40-fa1c-11e2-a92d-005056ab0051,"Warning: to avoid danger of suffocation, keep this bag away from babies and children."
043695071122,200,3998,00043695071122,0fa42e10-5f17-11e1-a6a8-005056957023,"Contains wheat, milk, egg & soy ingredients."
094514419656,201,71524,00094514419656,b26a2760-228d-11e1-a343-005056957023,"Caution: eye irritant. Harmful if swallowed. See back panel.
Caution: keep out of reach of children. Eye irritant. Harmful if swallowed. In case of eye contact, flush immediately with water. If swallowed, drink a glass of water. In either case, call a physician. Do not reuse this package for dispensing beverages or other liquids."
041736010116,203,16996,00041736010116,43f1f8d0-66e9-11e1-949c-005056ab0051,"Warning: Overheating may cause fire. 
Reduce heat if smoke occurs."
076808280081,207,60663,00076808280081,fd92cf50-f391-11e1-bd0f-005056ab0051,"Contains wheat ingredients.
This product is manufactured on equipment that processes products containing eggs."
043000285558,209,57563,00043000285558,45020030-5bdb-11e1-9a0e-005056957023,"Contains: Wheat, Soy."
048001213487,210,16748,00048001213487,42bedc10-0a9a-11df-b4a8-005056957023,REFRIGERATE AFTER OPENING. DO NOT FREEZE.
046704068502,211,40490,00046704068502,a7b39940-71da-11e1-bae2-005056ab0051,"Contains Wheat, Soybeans, Eggs, Milk."
024000014881,212,81290,00024000014881,77b094c0-4608-11e2-aacc-005056ab0051,Use care edges may be sharp.
048001213388,213,41836,00048001213388,9ed2df40-0a9c-11df-b4a8-005056957023,REFRIGERATE AFTER OPENING. DO NOT FREEZE.
020735110010,214,105397,00020735110010,0b918180-e281-11e2-a134-005056ab0051,Contains: milk.
041129010150,215,51461,00041129010150,d6cd4bc0-9ea0-11e1-a291-005056ab0051,Allergen information: contains wheat ingredients and is manufactured in a facility that uses eggs.
042000445290,217,6502,00042000445290,1a7cfe90-d4f9-11e1-9769-005056ab0051,"Warning: to avoid danger of injury or suffocation, keep this plastic packaging away from babies and children.
Caution: improper microwave use can cause any paper product to burn. Observe precautions in the microwave oven owner's manual. In case of fire, turn microwave off and leave door closed. Since wet paper towels may occasionally transfer ink to some surfaces, use the unprinted side for best results. Use white Brawny paper towels for food preparation and microwave cooking."
888109110109,218,108449,00888109110109,706043e0-0526-11e3-9797-005056ab0051,"Contains wheat, egg, milk and soy."
051000076236,219,104939,00051000076236,fb4a0fa0-ea59-11e2-8c22-005056ab0051,Do not purchase if carton is open or torn.
013800151735,221,7750,00013800151735,1f1caf30-bbaf-11e1-81c1-005056ab0051,"Contains: Milk, Soy, Wheat Ingredients."
051500730508,222,78894,00051500730508,707f2a60-2536-11e2-b419-005056ab0051,"Contains soybean and wheat ingredients.
May contain milk ingredients."
041196910360,224,25131,00041196910360,676bf3c1-b874-11e0-975d-005056957023,"Contains soy ingredients.
Caution: edges will be sharp.
Do not use if tab is lifted."
013000798907,226,56760,00013000798907,ee156c70-4d1c-11e1-a2c8-005056957023,"Contains wheat.
Safety button. Reject if button is up."
020000001401,228,40785,00020000001401,ab417de0-4dde-11e1-b154-005056957023,Contains milk ingredients.
884912014252,230,133096,00884912014252,3c890590-67f8-11e3-94af-005056ab0051,"Contains: wheat, almond, milk."
020000001104,231,25257,00020000001104,6979d9d0-4ddd-11e1-b154-005056957023,Contains milk ingredients.
037000088752,232,112418,00037000088752,a3d20c10-1bd6-11e3-b5eb-005056ab0051,"Eye irritant. Harmful if swallowed. Keep out of reach of children. If swallowed, give a glassful of water. Call a physician. In case of eye contact, flush with water. Do not reuse this package for dispensing beverages or other liquids."
019600046202,234,23193,00019600046202,60df9c90-a4ec-11e1-b291-005056ab0051,"Contains: wheat, soy, milk.
Do not purchase if carton is open or torn."
021131501242,239,23480,00021131501242,61bfae50-d4fa-11e1-9769-005056ab0051,"Contains: milk, soy, wheat."
070085060121,242,47064,00070085060121,c1f51520-8d75-11e1-b1b9-005056ab0051,"Contains wheat, soybeans, milk."
041196911831,246,94904,00041196911831,89acd820-b1d6-11e2-aacd-005056ab0051,"Contains wheat, egg and soy ingredients."
644209410408,247,31102,00644209410408,80c12280-a452-11e1-8f1a-005056ab0051,Contains: wheat.
038000403200,248,36433,00038000403200,98092600-58ca-11e1-8be4-005056957023,"Contains wheat, egg, milk and soy ingredients."
077644302326,250,79468,00077644302326,25118540-2a7d-11e2-97ea-005056ab0051,"Contains: milk.
Reject if button is up."
041196910940,251,94902,00041196910940,e654efe0-b1d6-11e2-aacd-005056ab0051,Contains soy ingredients.
041196011111,256,36984,00041196011111,9adb0140-b885-11e0-975d-005056957023,"Contains clam and soy ingredients.
Caution: edges will be sharp.
Do not use if tab is lifted."
021000010875,258,27682,00021000010875,7320f3c0-5403-11e1-aec1-005056957023,"Contains: wheat, milk.
Keep kids safe!
Caution: cup and contents will be very hot!"
071698021134,260,80495,00071698021134,5972e860-4571-11e2-aaf6-005056ab0051,"Warning: contents under pressure. Point away from people, especially while opening - cap could cause injury."
038000844966,261,92727,00038000844966,1c5b4560-a216-11e2-b5fe-005056ab0051,Contains wheat ingredients.
077644304320,264,79461,00077644304320,b9a0b100-2a81-11e2-97ea-005056ab0051,Reject if button is up.
071300000175,267,48675,00071300000175,c984d130-9ea6-11e1-a291-005056ab0051,Allergen information: contains wheat ingredients and is manufactured in a facility that uses eggs.
038000405006,268,19922,00038000405006,52e0dfe0-58cb-11e1-8be4-005056957023,"Contains wheat, egg, soy and milk ingredients."
042800005830,269,17002,00042800005830,4713b440-6f86-11e1-a10c-005056ab0051,"Warning: Contains Wheat, Milk and Soy Ingredients.
Caution: Filling will be very hot! Wait until cool enough to eat."
041196010220,270,39290,00041196010220,a4e93960-b874-11e0-975d-005056957023,"Caution: edges will be sharp.
Do not use if tab is lifted."
076808280746,271,93144,00076808280746,b7cf7170-9d56-11e2-b0b3-005056ab0051,"Contains wheat ingredients.
This product is manufactured on equipment that processes products containing eggs."
080000006714,274,23121,00080000006714,5c0ad8e0-58c2-11e1-8be4-005056957023,"Contains: Fish, Soy.
Product may contain bones."
046704068403,275,7978,00046704068403,1f423f30-71da-11e1-bae2-005056ab0051,"Contains Milk, Soybeans."
644209411405,279,75115,00644209411405,879f5fb0-1ebc-11e2-80b6-005056ab0051,Contains: Wheat.
019600045700,281,98549,00019600045700,73b66fe0-ce14-11e2-bbe7-005056ab0051,"Do not purchase if carton is open or torn.
Contains: wheat, soy, milk."
051500253625,282,45006,00051500253625,bc48ca50-d7f2-11e1-bd47-005056ab0051,"Warning: oil will catch fire if overheated. Damage or serious burns may result.
Do heat oil carefully, uncovered, on medium heat.
Do reduce heat if smoking occurs.
Do not leave unattended while heating.
Do not refill bottle with hot oil.
If oil catches fire:
Do turn off heat.
Do cover pot until cooled to room temperature to avoid reignition.
Do not carry pot until cool.
Do not put water on hot or flaming oil."
076808280982,286,91020,00076808280982,a8febf60-8696-11e2-900e-005056ab0051,"Contains wheat ingredients.
This product is manufactured on equipment that processes products containing eggs."
019600052104,291,24844,00019600052104,66ba0260-a454-11e1-8f1a-005056ab0051,"Contains: Wheat, Eggs, Milk, Soy.
Do not purchase if carton is open or torn."
019600052104,291,57491,00019600052104,f21d7b90-4dea-11e1-b154-005056957023,"Do not purchase if carton is open or torn.
Contains: wheat, milk, eggs."
052100004389,292,39060,00052100004389,a27ac270-5cac-11e1-a53e-005056957023,Do not use if seal under cap is missing or broken.
052200005071,293,47409,00052200005071,f3267840-3b97-11e0-a8b4-005056957023,"Button pops up when vacuum seal is broken. 
Do not use if button is up."
051000025111,294,2890,00051000025111,09ec9e90-5985-11e1-9089-005056957023,Reject if button is up.
041789002120,295,54794,00041789002120,e3a0e180-599b-11e1-9089-005056957023,"Contains wheat, soy and milk ingredients.
Manufactured in a facility that also processes shellfish and fish products.
Do not purchase if bag is open or torn."
